region,site_name_ko,disambiguation,site_name_en,order,diocese,road_address,latitude,longitude,iljumun,iljumun_name,geumgangmun,geumgangmun_name,cheonwangmun,cheonwangmun_name,bulimun,bulimun_name,pagoda,pagoda_name,main_hall_name,annex_halls,parking_info,access_info,meal_available,heritage,walk_path,verse1_asset,flower_badge,viewpoint,sources
대구/경북,동화사,대구 팔공산,Donghwasa,대한불교조계종,제9교구 본사,대구광역시 동구 팔공산로201길 41,35.99306,128.70417,Y,일주문,?,미확인,Y,천왕문,?,미확인,?,미확인,대웅전,봉서루·영산전·비로암,주차장 있음,포장도로·팔공산,사찰음식·템플스테이,보물 다수(마애여래좌상 등),봉황문 진입로,사찰림·계곡,미확인,미확인,https://en.wikipedia.org/wiki/Donghwasa
대구/경북,축서사,봉화 문수산,Chukseosa,대한불교조계종,제16교구 본사 고운사 말사,경상북도 봉화군 물야면 월계길 739,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,대웅전(비로자나불 큰법당)(세부 미확인),보광전·안양원,미확인,산지 진입,사찰음식·템플스테이,미확인,미확인,사찰림·조망,미확인,문수산 조망,미확인
대구/경북,고운사,의성 등운산,Gounsa,대한불교조계종,제16교구 본사,경상북도 의성군 단촌면 고운사길 415(추정),미확인,미확인,Y,일주문,?,미확인,Y,천왕문,?,미확인,?,미확인,대웅보전(현존 참배 가능),극락전(전소)·약사전(전소)·연수전(전소)·가운루(전소)·만덕당(전소)·종각(전소),주차장 있음,2025년 3월 산불로 45동 중 26동 전소 복구 진행 중,사찰음식·템플스테이,보물 가운루·연수전 등 전소(복구 대상),진입로 사찰림(자연복원 중),사찰림(자연복원 76.6% 진행),미확인,미확인,https://www.kyongbuk.co.kr/news/articleView.html?idxno=4067479 · https://www.greenpeace.org/korea/press/34934/
대구/경북,희방사,영주 소백산 죽령,Huibangsa,대한불교조계종,제16교구 본사 고운사 말사,경상북도 영주시 풍기읍 죽령로1720번길 278,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,대웅전,미확인,미확인,소백산 죽령·희방폭포 인근,사찰음식,미확인,희방폭포 진입로,계곡·폭포·사찰림,미확인,소백산 조망,https://korean.visitkorea.or.kr
대구/경북,보경사,포항 내연산,Bogyeongsa,대한불교조계종,제11교구 본사 불국사 말사,경상북도 포항시 북구 송라면 보경로 523,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,적광전(보물 비로자나불),대웅전·팔상전·산신각,주차장 있음,내연산 12폭포 연계,사찰음식·템플스테이,보물 보경사 적광전 등,내연산 폭포 탐방로,계곡·폭포·사찰림,미확인,내연산 조망,보경사 공식홈페이지 · https://encykorea.aks.ac.kr
대구/경북,기림사,경주 함월산,Girimsa,대한불교조계종,제11교구 본사 불국사 말사,경상북도 경주시 문무대왕면 기림로 437-17,미확인,미확인,?,미확인,?,미확인,Y,천왕문,?,미확인,?,미확인,대적광전(보물 소조비로자나삼존),약사전·응진전·명부전,주차장 있음,함월산 골굴사 인근,사찰음식·템플스테이,보물 대적광전 등,경내 진입로,계곡·사찰림,미확인,미확인,국가유산포털
대구/경북,도리사,구미 태조산,Dorisa,대한불교조계종,제8교구 본사 직지사 말사,경상북도 구미시 해평면 도리사로 526,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,극락전(아미타불) [적멸보궁 별도],태조선원·삼성각,주차장 있음,신라 최초 가람 전승,사찰음식,국보 도리사 세존사리탑 금동사리기(성보박물관)·보물 화엄석탑,진입로,사찰림,미확인,낙동강 조망,직지사 공식홈페이지 · 디지털구미문화대전
대구/경북,골굴사,경주 함월산,Golgulsa,대한불교조계종,제11교구 본사 불국사 말사,경상북도 경주시 문무대왕면 기림로 101-5,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,N,해당없음(석굴사원),대적광전(큰법당),12처 굴법당(관음굴·지장굴·약사굴 등),주차장 있음,암벽·석굴 계단 가파름,사찰음식·템플스테이(선무도),보물 경주 골굴암 마애여래좌상(제581호),석굴 순례로,사찰림·약수,미확인,마애여래좌상 정상 조망,https://ko.wikipedia.org/wiki/골굴사
강원,현덕사,강릉 연곡,Hyeondeoksa,미확인,미확인,강원특별자치도 강릉시 연곡면(정확한 주소 미확인),미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,미확인,미확인,미확인,미확인,템플스테이(추정),미확인,미확인,사찰림,미확인,미확인,미확인
강원,망경산사,영월 망경대산,Manggyeongsansa,미확인,미확인,강원특별자치도 영월군(정확한 주소 미확인),미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,미확인,미확인,미확인,망경대산 소재,미확인,미확인,미확인,사찰림,미확인,망경대산 조망,미확인
강원,백담사,인제 설악산,Baekdamsa,대한불교조계종,제3교구 본사 신흥사 말사,강원특별자치도 인제군 북면 백담로 746,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,극락보전(목조아미타불좌상 보물),만해기념관·화엄실,사하 주차 후 셔틀버스,백담사 마을버스(셔틀) 운행·계곡 도보,사찰음식·템플스테이,보물 백담사 목조아미타여래좌상 및 복장유물,백담계곡 진입로·돌탑,계곡·사찰림,미확인,설악산 조망,https://en.wikipedia.org/wiki/Baekdamsa
강원,청평사,춘천 오봉산,Cheongpyeongsa,대한불교조계종,제3교구 본사 신흥사 말사,강원특별자치도 춘천시 북산면 오봉산길 810,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,극락보전,회전문(보물)·구송폭포,소양호 배편+도보,소양호 선착장에서 도보,사찰음식,보물 청평사 회전문,구송폭포~고려정원 진입로,계곡·폭포·사찰림,미확인,오봉산 조망,청평사 공식홈페이지
강원,명주사,원주 신림,Myeongjusa,미확인,미확인,강원특별자치도 원주시 신림면 물안길 62,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,미확인,고판화박물관,미확인,치악산 자락,미확인,미확인(고판화박물관 소장품),미확인,사찰림,미확인,미확인,원주시청 · https://korean.visitkorea.or.kr
강원,삼운사,춘천,Samunsa,미확인,미확인,강원특별자치도 춘천시(정확한 주소 미확인),미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,미확인,미확인,미확인,도심 사찰(추정),미확인,미확인,미확인,미확인,미확인,미확인,미확인
강원,용연사,강릉 사천,Yongyeonsa,미확인,미확인,강원특별자치도 강릉시 사천면(정확한 주소 미확인),미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,미확인,미확인,미확인,미확인,미확인,미확인,미확인,사찰림,미확인,미확인,미확인
강원,화암사,고성 설악산 신선봉,Hwaamsa (Goseong),대한불교조계종,제3교구 본사 신흥사 말사,강원특별자치도 고성군 토성면 화암사길 100,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,대웅전,수바위 인근,주차장 있음,신선봉·수바위 등산 연계,사찰음식·템플스테이,미확인,수바위 진입로,사찰림·기암(수바위),미확인,신선봉·동해 조망,고성군 관광포털
전남/광주,백양사,장성 백암산,Baekyangsa,대한불교조계종,제18교구 본사(고불총림),전라남도 장성군 북하면 백양로 1239,미확인,미확인,Y,일주문,?,미확인,Y,사천왕문(전남 유형문화유산),?,미확인,?,미확인,대웅전(전남 유형문화유산),극락보전·명부전·진영각·쌍계루,주차장 있음,내장산국립공원·단풍 명소,사찰음식·템플스테이(천진암 정관스님),보물 소요대사부도·명승 백양사 백학봉·천연기념물 비자나무 숲,쌍계루~대웅전 진입로,계곡·비자나무 숲·사찰림,단풍(가을)·비자림,쌍계루 연못 반영·약사암 전망,https://www.heritage.go.kr · https://encykorea.aks.ac.kr/Article/E0022216
전남/광주,대흥사,해남 두륜산,Daeheungsa,대한불교조계종,제22교구 본사,전라남도 해남군 삼산면 대흥사길 400,미확인,미확인,Y,일주문,?,미확인,?,미확인,Y,해탈문,Y,삼층석탑(응진전 앞·북미륵암),대웅보전(북원),천불전(남원)·침계루·표충사·대광명전,주차장 있음(피안교 앞),두륜산 도립공원·세계유산,사찰음식·템플스테이,국보 북미륵암 마애여래좌상·사적·세계유산,북원~남원 금당천 진입로·일지암 산길,계곡(금당천)·차밭·사찰림,동백·차,두륜산 조망,http://www.daeheungsa.co.kr · https://www.grandculture.net/haenam
전남/광주,송광사,순천 조계산,Songgwangsa (Suncheon),대한불교조계종,제21교구 본사(승보종찰),전라남도 순천시 송광면 송광사안길 100,미확인,미확인,Y,일주문,?,미확인,Y,천왕문,?,미확인,N,해당없음(탑 없는 가람으로 유명),대웅보전,국사전(국보)·승보전·지장전·우화각,주차장 있음,조계산·세계유산,사찰음식·템플스테이,국보 국사전·국보 목조삼존불감·국보 혜심고신제서·세계유산,계곡 진입로·우화각,계곡·사찰림·차밭,미확인,조계산 조망,미확인(위키·일반자료)
전남/광주,도갑사,영암 월출산,Dogapsa,대한불교조계종,제22교구 본사 대흥사 말사,전라남도 영암군 군서면 도갑사로 306,미확인,미확인,?,미확인,?,미확인,?,미확인,Y,해탈문(국보 제50호),?,미확인,대웅보전,미륵전·명부전,주차장 있음,월출산 자락,사찰음식·템플스테이,국보 도갑사 해탈문·보물 다수,진입로 숲길,계곡·사찰림,미확인,월출산 조망,나무위키·불교문화
전남/광주,무위사,강진 월출산,Muwisa,대한불교조계종,제22교구 본사 대흥사 말사,전라남도 강진군 성전면 무위사로 308,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,극락보전(국보 제13호 아미타삼존),대적광전(신축)·명부전,주차장 있음,월출산 남쪽,사찰음식·템플스테이,국보 강진 무위사 극락전·보물 벽화,경내 진입로,사찰림,미확인,월출산 조망,무위사 공식홈페이지 · 한국민족문화대백과
전남/광주,운주사,화순,Unjusa,대한불교조계종,제21교구 본사 송광사 말사,전라남도 화순군 도암면 천태로 91-44,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,Y,다수 석탑(천불천탑),대웅전,와불·석불군,주차장 있음,천불천탑 유적,사찰음식,보물 화순 운주사 구층석탑·석조불감·원형다층석탑,천불천탑 탐방로,계곡·사찰림·석탑군,미확인,와불 조망,나무위키·한국민족문화대백과
전남/광주,증심사,광주 무등산,Jeungsimsa,대한불교조계종(교구 미확인),미확인,광주광역시 동구 증심사길 177,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,Y,삼층석탑,대웅전,오백전·비로전,주차장 있음,무등산국립공원 입구,사찰음식·템플스테이,보물 광주 증심사 철조비로자나불좌상,무등산 등산로 연계,계곡·사찰림,미확인,무등산 조망,미확인
전남/광주,천은사,구례 지리산,Cheoneunsa (Gurye),대한불교조계종,제19교구 본사 화엄사 말사,전라남도 구례군 광의면 노고단로 209,미확인,미확인,Y,일주문,?,미확인,?,미확인,?,미확인,?,미확인,극락보전(보물 제2024호 아미타불),수홍루·명부전·팔상전,주차장 있음,지리산 노고단 진입로,사찰음식·템플스테이,보물 천은사 극락보전·보물 괘불탱,수홍루 진입로·상생의 길,계곡·사찰림,미확인,지리산 조망,천은사 공식홈페이지 · 국가유산포털
전남/광주,대원사,보성 천봉산,Daewonsa (Boseong),대한불교조계종,미확인(백제고찰),전라남도 보성군 문덕면 죽산길 506-8,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,극락전(전남 유형문화유산 제87호),티벳박물관·자진국사 부도,주차장 있음(티벳박물관 위),벚꽃 터널길(한국의 아름다운 길 100선),사찰음식·템플스테이,전남 유형문화유산 극락전,벚꽃 터널 진입로,계곡·사찰림,벚꽃(봄),미확인,http://daewonsa.or.kr
전남/광주,무각사,광주 서구,Mugaksa,대한불교조계종,제21교구 본사 송광사 말사(광주포교당),광주광역시 서구 운천로 230,미확인,미확인,?,미확인,?,미확인,N,없음(도심),N,없음(도심),?,미확인,대웅전,문화관·공양간,도심 주차,상무지구 5·18기념공원 내,사찰음식 특화·템플스테이,미확인,공원 산책로,도심 공원(사찰림 아님),미확인,미확인,디지털광주문화대전 · 광주관광
전남/광주,불갑사,영광 모악산,Bulgapsa,대한불교조계종(교구 미확인),미확인,전라남도 영광군 불갑면 불갑사로 450(추정),미확인,미확인,Y,일주문,?,미확인,Y,천왕문,?,미확인,?,미확인,대웅전(보물),만세루·명부전,주차장 있음,꽃무릇 군락 명소,사찰음식·템플스테이,보물 영광 불갑사 대웅전,꽃무릇 군락 산책로,사찰림·꽃무릇 군락,꽃무릇(상사화 9월),미확인,미확인
전남/광주,향일암,여수 돌산,Hyangiram,대한불교조계종(교구 미확인),미확인,전라남도 여수시 돌산읍 향일암로 60,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,N,해당없음,관음전(원통보전),삼성각,주차장 있음,암벽 계단·바위굴 통로,사찰음식,미확인,해안 암벽 참배로,바다·기암,동백(봄),남해 일출 명소(새벽),미확인
전북,귀정사,남원 산동,Gwijeongsa,대한불교조계종,제17교구 본사 금산사 말사,전북특별자치도 남원시 산동면 대상2길 246,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,대웅전,미확인,미확인,만행산(천황산) 자락,사찰음식·템플스테이,미확인,미확인,사찰림,미확인,미확인,금산사 공식홈페이지
전북,개암사,부안 능가산,Gaeamsa,대한불교조계종,제24교구 본사 선운사 말사,전북특별자치도 부안군 상서면 개암로 248,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,대웅보전(보물 석가·문수·보현),응진전·지장전,주차장 있음,변산반도·울금바위,사찰음식,보물 부안 개암사 대웅전,울금바위 등산로 연계,계곡·사찰림,미확인,울금바위 조망,https://ko.wikipedia.org · 디지털부안문화대전
전북,금당사,진안 마이산,Geumdangsa,대한불교조계종,제17교구 본사 금산사 말사,전북특별자치도 진안군 마령면 마이산남로 217,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,극락보전(목불좌상),미확인,마이산 남부주차장 인근,마이산 도립공원 진입,사찰음식,보물 금당사 괘불탱·전북 유형문화유산 목불좌상,탑사~금당사 진입로,계곡·사찰림,벚꽃(봄 마이산),마이산 조망,나무위키 · 한국민족문화대백과
전북,안국사,무주 적상산,Anguksa,대한불교조계종,제17교구 본사 금산사 말사,전북특별자치도 무주군 적상면 산성로 1050,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,극락전(전북 유형문화유산 아미타불),청연루·삼성각,적상산 정상부 주차,양수댐 건설로 1993년 이전,사찰음식,전북 유형문화유산 안국사 극락전,적상산성 탐방로,사찰림·적상호,단풍(가을),적상산 조망,디지털무주문화대전 · 무주군
충남/세종,영평사,세종 장군산,Yeongpyeongsa,미확인,미확인,세종특별자치시 장군면(정확한 주소 미확인),미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,미확인,미확인,주차장 있음,구절초 축제 명소,사찰음식·템플스테이,미확인,구절초 산책로,구절초 군락,구절초(가을),미확인,미확인
충남/세종,학림사,공주 계룡산 반포,Hangnimsa,미확인,미확인,충청남도 공주시 반포면(정확한 주소 미확인),미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,미확인,미확인,미확인,계룡산 자락,미확인,미확인,미확인,사찰림,미확인,미확인,미확인
충남/세종,수덕사,예산 덕숭산,Sudeoksa,대한불교조계종,제7교구 본사(덕숭총림),충청남도 예산군 덕산면 수덕사안길 79,미확인,미확인,Y,일주문,?,미확인,?,미확인,?,미확인,?,미확인,대웅전(국보 제49호),백련당·청련당·근역성보관·선미술관,주차장 있음,덕숭산·가야산,사찰음식·템플스테이,국보 수덕사 대웅전·보물 목조석가여래삼불좌상,진입로 상가~일주문·덕숭산 정혜사 산길,사찰림,미확인,덕숭산 조망,https://yesan.grandculture.net · https://ko.wikipedia.org/wiki/수덕사
충남/세종,마곡사,공주 태화산,Magoksa,대한불교조계종,제6교구 본사,충청남도 공주시 사곡면 마곡사로 966,미확인,미확인,Y,일주문,?,미확인,Y,천왕문,Y,해탈문,Y,오층석탑(보물 제799호),대광보전(보물 제802호),대웅보전(보물 제801호)·영산전(보물 제800호),식당가 대형주차장(무료)·사찰 인근 유료(4000원),외길 구간 교행 주의·입장 무료·세계유산,사찰음식·템플스테이,보물 4점(대광보전·대웅보전·영산전·오층석탑)·세계유산,태화산 솔바람길·계곡 남원북원,계곡(마곡천)·솔숲·사찰림,춘마곡 봄 벚꽃,태화산 조망,https://www.telltrip.com · 나무위키 · 국가유산포털
충남/세종,무량사,부여 만수산,Muryangsa,대한불교조계종,제6교구 본사 마곡사 말사,충청남도 부여군 외산면 무량로 203,미확인,미확인,Y,일주문,?,미확인,Y,천왕문,?,미확인,Y,오층석탑(보물),극락전(보물 제356호 2층 극락전 소조아미타삼존),명부전·영산전·김시습 부도,주차장 있음,만수산 자락,사찰음식·템플스테이,보물 무량사 극락전·보물 오층석탑·보물 미륵불괘불탱,진입로 숲길,계곡·사찰림,미확인,만수산 조망,나무위키 · 국가유산포털
충남/세종,서광사,서산 부춘산,Seogwangsa,미확인,미확인,충청남도 서산시 부춘산(정확한 주소 미확인),미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,미확인,미확인,미확인,부춘산 도심 인근,미확인,미확인,미확인,사찰림,미확인,서산 시가지 조망,미확인
충남/세종,갑사,공주 계룡산,Gapsa,대한불교조계종,제6교구 본사 마곡사 말사,충청남도 공주시 계룡면 갑사로 567-3,미확인,미확인,Y,일주문,?,미확인,Y,천왕문,?,미확인,?,미확인,대웅전,대적전·표충원·팔상전,주차장 있음,계룡산 서편·단풍 명소,사찰음식·템플스테이,국보 갑사 삼신불괘불탱·보물 다수,오리숲 진입로·계곡,계곡·오리숲·사찰림,단풍(가을 추갑사),계룡산 조망,갑사 공식홈페이지 · 공주시
충남/세종,부석사,서산 도비산,Buseoksa (Seosan),대한불교조계종,제7교구 본사 수덕사 말사,충청남도 서산시 부석면 부석사길 243,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,극락전(아미타불),미확인,주차장 있음,도비산 자락(천수만 조망),사찰음식·템플스테이,쓰시마 금동관음보살좌상 관련 사찰,진입로 숲길,사찰림,미확인,천수만·서해 조망,부석사 공식홈페이지
충북,미륵대흥사,단양 황정산,Mireukdaeheungsa,대한불교조계종,미확인,충청북도 단양군 대강면 황정산(정확한 주소 미확인),미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,미륵전,미확인,미확인,황정산 자락,사찰음식·템플스테이,미확인,미확인,사찰림,미확인,황정산 조망,불교저널 · 템플스테이
충북,석종사,충주 직동,Seokjongsa,대한불교조계종,미확인(금봉선원),충청북도 충주시 직동(금봉산 정확한 주소 미확인),미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,대웅전,금봉선원,미확인,금봉산 자락 선원,사찰음식·템플스테이,미확인,미확인,사찰림,미확인,미확인,디지털충주문화대전
충북,반야사,영동 백화산,Banyasa,대한불교조계종,제5교구 본사 법주사 말사,충청북도 영동군 황간면 백화산로 652,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,대웅전(석가·문수·보현),미확인,주차장 있음,백화산 호서의 소금강,사찰음식,미확인,계곡 진입로·문수전 산길,계곡·사찰림(호랑이 형상 너덜),배롱나무(여름),문수전 조망,영동군 · 불교신문
충북,용화사,청주,Yonghwasa (Cheongju),대한불교조계종,제5교구 본사 법주사 말사,충청북도 청주시 서원구 무심서로 565,미확인,미확인,N,없음(도심),N,없음,N,없음(도심),N,없음,?,미확인,용화보전(미륵보전 석조불상군 7구),미확인,도심 주차,무심천변 도심 사찰,사찰음식,보물 청주 용화사 석조불상군,무심천변 산책로,무심천(도심 하천),미확인,미확인,나무위키 · 디지털청주문화대전
충북,법주사,보은 속리산,Beopjusa,대한불교조계종,제5교구 본사,충청북도 보은군 속리산면 법주사로 405,36.542361,127.833750,Y,일주문,Y,금강문,Y,천왕문,?,미확인,Y,팔상전(국보 제55호 목탑),대웅보전(보물),원통보전·능인전·마애여래의좌상,주차장 있음,속리산국립공원·세계유산,사찰음식·템플스테이,국보 팔상전·국보 쌍사자석등·국보 석련지·보물 대웅보전·세계유산,오리숲 진입로·세조길,계곡·오리숲·사찰림,미확인,속리산 조망,https://en.wikipedia.org/wiki/Beopjusa
충북,영국사,영동 천태산,Yeongguksa,대한불교조계종,제5교구 본사 법주사 말사,충청북도 영동군 양산면 영국동길 225-35,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,Y,삼층석탑(보물),대웅전(충북 유형문화유산),미확인,주차장 있음,천태산 자락·은행나무,사찰음식,보물 영국사 삼층석탑·원각국사비·부도,천태산 등산로·은행나무,계곡·사찰림·노거수 은행나무,은행나무 단풍(가을),천태산 조망,영국사 공식홈페이지 · 나무위키
서울,국제선센터,양천 목동,Seoul International Seon Center,대한불교조계종,조계종 직영기관,서울특별시 양천구 목동동로 167,미확인,미확인,N,없음(도심 건물),N,없음,N,없음,N,없음,N,없음,큰법당,선방·강당(지상7층/지하3층),건물 주차장,지하철 접근 용이(도심),사찰음식·템플스테이(외국인 특화),미확인,없음(도심),도심(사찰림 아님),미확인,미확인,http://www.seoncenter.or.kr
서울,화계사,강북 수유동,Hwagyesa,대한불교조계종,직할교구 본사 조계사 말사,서울특별시 강북구 화계사길 117,미확인,미확인,Y,일주문,?,미확인,?,미확인,?,미확인,?,미확인,대웅전(서울 유형문화유산 제65호),대적광전·명부전·삼성각·보화루·국제선원,주차장 있음,북한산 자락·도심 접근 용이,사찰음식·템플스테이,보물 화계사 동종·보물 목조지장보살삼존상 및 시왕상·서울 유형문화유산 대웅전,경내 진입로,사찰림·계곡,미확인,미확인,http://www.hwagyesa.org · https://ko.wikipedia.org/wiki/화계사
서울,경국사,성북 정릉,Gyeongguksa,대한불교조계종,직할교구 본사 조계사 말사(추정),서울특별시 성북구 보국문로 113-10,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,극락보전,명부전·삼성각,주차장 있음,북한산 정릉 자락,사찰음식·템플스테이,보물 경국사 목각아미타여래설법상(제748호)·서울 유형문화유산 목관음보살좌상,정릉천 진입로,계곡·사찰림,미확인,미확인,http://www.ibulgyo.com · 국가유산포털
서울,수국사,은평 갈현동,Suguksa,대한불교조계종,직할교구 본사 조계사 말사,서울특별시 은평구 서오릉로23길 8-5,미확인,미확인,?,미확인,?,미확인,?,미확인,?,미확인,?,미확인,대웅보전(황금법당),미륵불 동상,연신내역+마을버스,연신내역 6번출구 마을버스 9번·오전 9시 개방,사찰음식·템플스테이,보물 수국사 목조아미타여래좌상,봉산 자락 산책로,봉산 사찰림,미확인,미확인,https://www.telltrip.com · 나무위키
