siteId,name,roadAddress,coordPoint,qrLocationHint,parkingInfo,accessInfo,mealAvailable,description,descriptionEn,viewpoint1,viewpoint2,viewpoint3,badgeFlower,grade,source,checkedAt,note
990409,축서사,경상북도 봉화군 물야면 월계길 739,,,,산지 진입,RESERVATION,,,,,,N,비공식,,,공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 1구자산=사찰림·조망 · 영문명=Chukseosa
990410,고운사,경상북도 의성군 단촌면 고운사길 415(추정),,,주차장 있음,2025년 3월 산불로 45동 중 26동 전소 복구 진행 중,RESERVATION,,,,,,N,비공식,https://www.kyongbuk.co.kr/news/articleView.html?idxno=4067479 · https://www.greenpeace.org/korea/press/34934/,,§0-2 DB 대상 제외 — status INACTIVE 고정 · 복원 중 — 스탬프 지점 보류 · [DB 제외] 2026-09-07 예성 정정 §0-2 — INACTIVE 고정·ACTIVE 확장·코스 배정 제외 · 공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 국가유산=보물 가운루·연수전 등 전소(복구 대상) · 산책로=진입로 사찰림(자연복원 중) · 1구자산=사찰림(자연복원 76.6% 진행) · 주불전=대웅보전(현존 참배 가능) · 영문명=Gounsa
990411,희방사,경상북도 영주시 풍기읍 죽령로1720번길 278,,,,소백산 죽령·희방폭포 인근 (2026-09 잠정),RESERVATION,,,소백산 조망||,,,N,잠정,https://korean.visitkorea.or.kr,,공양원문=사찰음식 · 조사단계=2차조사 · 산책로=희방폭포 진입로 · 1구자산=계곡·폭포·사찰림 · 주불전=대웅전 · 영문명=Huibangsa
990412,보경사,경상북도 포항시 북구 송라면 보경로 523,,,주차장 있음,내연산 12폭포 연계,RESERVATION,,,내연산 조망||,,,N,확정,보경사 공식홈페이지 · https://encykorea.aks.ac.kr,,공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 국가유산=보물 보경사 적광전 등 · 산책로=내연산 폭포 탐방로 · 1구자산=계곡·폭포·사찰림 · 주불전=적광전(보물 비로자나불) · 영문명=Bogyeongsa
990413,기림사,경상북도 경주시 문무대왕면 기림로 437-17,,,주차장 있음 (2026-09 잠정),함월산 골굴사 인근 (2026-09 잠정),RESERVATION,,,,,,N,잠정,국가유산포털,,공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 국가유산=보물 대적광전 등 · 산책로=경내 진입로 · 1구자산=계곡·사찰림 · 주불전=대적광전(보물 소조비로자나삼존) · 영문명=Girimsa
990414,직지사,경북 김천시 대항면 북암길 95,,,주차 가능,직지문화공원,RESERVATION,,,,,,N,확정,국가유산청 보도자료;국가유산포털,,제8교구본사 · 조사단계=1차조사(v3.2) · 주불전=대웅전 · 영문명=Jikjisa Temple
990415,도리사,경상북도 구미시 해평면 도리사로 526,,,주차장 있음,신라 최초 가람 전승,RESERVATION,,,낙동강 조망||,,,N,확정,직지사 공식홈페이지 · 디지털구미문화대전,,공양원문=사찰음식 · 조사단계=2차조사 · 국가유산=국보 도리사 세존사리탑 금동사리기(성보박물관)·보물 화엄석탑 · 산책로=진입로 · 1구자산=사찰림 · 주불전=극락전(아미타불) [적멸보궁 별도] · 영문명=Dorisa
990416,골굴사,경상북도 경주시 문무대왕면 기림로 101-5,,,주차장 있음,암벽·석굴 계단 가파름,RESERVATION,,,,,,N,비공식,https://ko.wikipedia.org/wiki/골굴사,,공양원문=사찰음식·템플스테이(선무도) · 조사단계=2차조사 · 국가유산=보물 경주 골굴암 마애여래좌상(제581호) · 산책로=석굴 순례로 · 1구자산=사찰림·약수 · 주불전=대적광전(큰법당) · 영문명=Golgulsa
990417,현덕사,,,,,,RESERVATION,,,,,,N,비공식,,,조사단계=2차조사 · 1구자산=사찰림 · 영문명=Hyeondeoksa
990418,망경산사,,,,,망경대산 소재,TEMPLE_MEAL,,,,,,N,비공식,,,조사단계=2차조사 · 1구자산=사찰림 · 영문명=Manggyeongsansa
990419,월정사,,,,주차 가능 (2026-09 잠정),전나무숲길 1km (2026-09 잠정),RESERVATION,,,,,,N,잠정,국가유산포털;월정사자료,,제4교구본사 · 조사단계=1차조사(v3.2) · 주불전=적광전 · 영문명=Woljeongsa Temple
990420,백담사,강원특별자치도 인제군 북면 백담로 746,,,사하 주차 후 셔틀버스,백담사 마을버스(셔틀) 운행·계곡 도보,RESERVATION,,,,,,N,비공식,https://en.wikipedia.org/wiki/Baekdamsa,,셔틀 진입 구간 · 공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 국가유산=보물 백담사 목조아미타여래좌상 및 복장유물 · 산책로=백담계곡 진입로·돌탑 · 1구자산=계곡·사찰림 · 주불전=극락보전(목조아미타불좌상 보물) · 영문명=Baekdamsa
990421,보현사,,,,,보현산 계곡길 (2026-09 잠정),RESERVATION,,,,,,N,잠정,국가유산포털,,조사단계=1차조사(v3.2) · 주불전=대웅전 · 영문명=Bohyeonsa Temple (Gangneung)
990422,청평사,강원특별자치도 춘천시 북산면 오봉산길 810,,,소양호 배편+도보 (2026-09 잠정),소양호 선착장에서 도보 (2026-09 잠정),RESERVATION,,,오봉산 조망||,,,N,잠정,청평사 공식홈페이지,,공양원문=사찰음식 · 조사단계=2차조사 · 국가유산=보물 청평사 회전문 · 산책로=구송폭포~고려정원 진입로 · 1구자산=계곡·폭포·사찰림 · 주불전=극락보전 · 영문명=Cheongpyeongsa
990423,명주사,강원특별자치도 원주시 신림면 물안길 62,,,,치악산 자락 (2026-09 잠정),RESERVATION,,,,,,N,잠정,원주시청 · https://korean.visitkorea.or.kr,,조사단계=2차조사 · 1구자산=사찰림 · 영문명=Myeongjusa
990424,삼운사,,,,,도심 사찰(추정),RESERVATION,,,,,,N,비공식,,,조사단계=2차조사 · 영문명=Samunsa
990425,삼화사,,,,,무릉계곡,RESERVATION,,,,,,N,비공식,삼화사자료(번호 재확인),,조사단계=1차조사(v3.2) · 주불전=적광전 · 영문명=Samhwasa Temple
990426,용연사,,,,,,RESERVATION,,,,,,N,비공식,,,조사단계=2차조사 · 1구자산=사찰림 · 영문명=Yongyeonsa
990427,화암사,강원특별자치도 고성군 토성면 화암사길 100,,,주차장 있음,신선봉·수바위 등산 연계,RESERVATION,,,,,,N,비공식,고성군 관광포털,,완주 화암사 아님 · 공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 산책로=수바위 진입로 · 1구자산=사찰림·기암(수바위) · 주불전=대웅전 · 영문명=Hwaamsa (Goseong)
990428,신흥사,,,,주차 가능 (2026-09 잠정),울산바위·비룡폭포 포행 (2026-09 잠정),RESERVATION,,,,,,N,잠정,국가유산포털;신흥사자료,,제3교구본사 · 조사단계=1차조사(v3.2) · 주불전=극락보전(보물1981) · 영문명=Sinheungsa Temple
990429,건봉사,강원 고성군 거진읍 건봉사로 723,,,,능파교 동선,RESERVATION,,,,,,N,비공식,위키,,조사단계=1차조사(v3.2) · 주불전=대웅전+극락전 · 영문명=Geonbongsa Temple
990430,구룡사,,,,,세렴폭포 방향,RESERVATION,,,,,,N,비공식,구룡사공식(현장실사),,조사단계=1차조사(v3.2) · 주불전=대웅전 · 영문명=Guryongsa Temple
990431,법흥사,,,,,소나무숲길,RESERVATION,,,,,,N,비공식,법흥사자료(현장실사),,불상 없음 · 조사단계=1차조사(v3.2) · 주불전=적멸보궁(불상없음) · 영문명=Beopheungsa Temple
990432,백양사,전라남도 장성군 북하면 백양로 1239,,,주차장 있음,내장산국립공원·단풍 명소,TEMPLE_MEAL,,,쌍계루 연못 반영·약사암 전망||,,,Y,확정,https://www.heritage.go.kr · https://encykorea.aks.ac.kr/Article/E0022216,,제18교구본사·v3.2 100만 초과 · [Q3 확정] 후보 유지·과포화 시 비노출(congested) · 공양원문=사찰음식·템플스테이(천진암 정관스님) · 조사단계=2차조사 · 꽃절=단풍(가을)·비자림 · 국가유산=보물 소요대사부도·명승 백양사 백학봉·천연기념물 비자나무 숲 · 산책로=쌍계루~대웅전 진입로 · 1구자산=계곡·비자나무 숲·사찰림 · 주불전=대웅전(전남 유형문화유산) · 영문명=Baekyangsa
990433,백련사(강진),전남 강진군 도암면 백련사길 145,,,,다산초당 오솔길 (2026-09 잠정),RESERVATION,,,,,,Y,잠정,국가유산포털;강진문화관광,,조사단계=1차조사(v3.2) · 꽃절=동백(3~4월) · 주불전=대웅보전(보물 2023) · 영문명=Baengnyeonsa Temple (Gangjin)
990434,대흥사,전라남도 해남군 삼산면 대흥사길 400,,,주차장 있음(피안교 앞),두륜산 도립공원·세계유산,RESERVATION,,,두륜산 조망||,,,Y,확정,http://www.daeheungsa.co.kr · https://www.grandculture.net/haenam,,제22교구본사 · 공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 꽃절=동백·차 · 국가유산=국보 북미륵암 마애여래좌상·사적·세계유산 · 산책로=북원~남원 금당천 진입로·일지암 산길 · 1구자산=계곡(금당천)·차밭·사찰림 · 주불전=대웅보전(북원) · 영문명=Daeheungsa
990435,송광사(순천),전라남도 순천시 송광면 송광사안길 100,,,주차장 있음,조계산·세계유산,RESERVATION,,,,,,N,비공식,,,제21교구본사 · 공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 국가유산=국보 국사전·국보 목조삼존불감·국보 혜심고신제서·세계유산 · 산책로=계곡 진입로·우화각 · 1구자산=계곡·사찰림·차밭 · 주불전=대웅보전 · 영문명=Songgwangsa (Suncheon)
990436,화엄사,전남 구례군 마산면 화엄사로 539,,,주차 가능,계단 진입,RESERVATION,,,,,,Y,확정,위키;국가유산포털;국가유산청 보도자료,,제19교구본사 · 조사단계=1차조사(v3.2) · 꽃절=홍매(흑매 3월) · 주불전=대웅전(보물299) · 영문명=Hwaeomsa Temple
990437,도갑사,전라남도 영암군 군서면 도갑사로 306,,,주차장 있음,월출산 자락,RESERVATION,,,,,,N,비공식,나무위키·불교문화,,공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 국가유산=국보 도갑사 해탈문·보물 다수 · 산책로=진입로 숲길 · 1구자산=계곡·사찰림 · 주불전=대웅보전 · 영문명=Dogapsa
990438,무위사,전라남도 강진군 성전면 무위사로 308,,,주차장 있음,월출산 남쪽,RESERVATION,,,월출산 조망||,,,N,확정,무위사 공식홈페이지 · 한국민족문화대백과,,공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 국가유산=국보 강진 무위사 극락전·보물 벽화 · 산책로=경내 진입로 · 1구자산=사찰림 · 주불전=극락보전(국보 제13호 아미타삼존) · 영문명=Muwisa
990439,운주사,전라남도 화순군 도암면 천태로 91-44,,,주차장 있음 (2026-09 잠정),천불천탑 유적 (2026-09 잠정),RESERVATION,,,와불 조망||,,,N,잠정,나무위키·한국민족문화대백과,,공양원문=사찰음식 · 조사단계=2차조사 · 국가유산=보물 화순 운주사 구층석탑·석조불감·원형다층석탑 · 산책로=천불천탑 탐방로 · 1구자산=계곡·사찰림·석탑군 · 주불전=대웅전 · 영문명=Unjusa
990440,증심사,광주광역시 동구 증심사길 177,,,주차장 있음,무등산국립공원 입구,RESERVATION,,,,,,N,비공식,,,공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 국가유산=보물 광주 증심사 철조비로자나불좌상 · 산책로=무등산 등산로 연계 · 1구자산=계곡·사찰림 · 주불전=대웅전 · 영문명=Jeungsimsa
990441,천은사(구례),전라남도 구례군 광의면 노고단로 209,,,주차장 있음,지리산 노고단 진입로,RESERVATION,,,지리산 조망||,,,N,확정,천은사 공식홈페이지 · 국가유산포털,,삼척 천은사 아님 · 공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 국가유산=보물 천은사 극락보전·보물 괘불탱 · 산책로=수홍루 진입로·상생의 길 · 1구자산=계곡·사찰림 · 주불전=극락보전(보물 제2024호 아미타불) · 영문명=Cheoneunsa (Gurye)
990442,대원사(보성),전라남도 보성군 문덕면 죽산길 506-8,,,주차장 있음(티벳박물관 위) (2026-09 잠정),벚꽃 터널길(한국의 아름다운 길 100선) (2026-09 잠정),RESERVATION,,,,,,Y,잠정,http://daewonsa.or.kr,,산청 대원사 아님 · 공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 꽃절=벚꽃(봄) · 국가유산=전남 유형문화유산 극락전 · 산책로=벚꽃 터널 진입로 · 1구자산=계곡·사찰림 · 주불전=극락전(전남 유형문화유산 제87호) · 영문명=Daewonsa (Boseong)
990443,무각사,광주광역시 서구 운천로 230,,,도심 주차 (2026-09 잠정),상무지구 5·18기념공원 내 (2026-09 잠정),RESERVATION,,,,,,N,잠정,디지털광주문화대전 · 광주관광,,공양원문=사찰음식 특화·템플스테이 · 조사단계=2차조사 · 산책로=공원 산책로 · 1구자산=도심 공원(사찰림 아님) · 주불전=대웅전 · 영문명=Mugaksa
990444,미황사,전남 해남군 송지면 미황사길 164,,,,달마산 진입 (2026-09 잠정),RESERVATION,,,,,,N,잠정,국가유산포털,,조사단계=1차조사(v3.2) · 주불전=대웅보전(보물947) · 영문명=Mihwangsa Temple
990445,불갑사,전라남도 영광군 불갑면 불갑사로 450(추정),,,주차장 있음,꽃무릇 군락 명소,RESERVATION,,,,,,N,비공식,,,공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 국가유산=보물 영광 불갑사 대웅전 · 산책로=꽃무릇 군락 산책로 · 1구자산=사찰림·꽃무릇 군락 · 주불전=대웅전(보물) · 영문명=Bulgapsa
990446,향일암,전라남도 여수시 돌산읍 향일암로 60,,,주차장 있음,암벽 계단·바위굴 통로,RESERVATION,,,,,,N,비공식,,,공양원문=사찰음식 · 조사단계=2차조사 · 산책로=해안 암벽 참배로 · 1구자산=바다·기암 · 주불전=관음전(원통보전) · 영문명=Hyangiram
990447,실상사,,,,,지리산 평지 (2026-09 잠정),RESERVATION,,,,,,N,잠정,국가유산포털,,조사단계=1차조사(v3.2) · 주불전=보광전 · 영문명=Silsangsa Temple
990448,송광사(완주),전북 완주군 소양면(종남산),,,주차 가능 (2026-09 잠정),평지 일직선 (2026-09 잠정),RESERVATION,,,,,,N,잠정,전북일보;불교신문;국가유산포털,,순천 송광사 아님 · 조사단계=1차조사(v3.2) · 주불전=대웅전(보물1243) · 영문명=Songgwangsa Temple (Wanju)
990449,귀정사,전북특별자치도 남원시 산동면 대상2길 246,,,,만행산(천황산) 자락 (2026-09 잠정),RESERVATION,,,,,,N,잠정,금산사 공식홈페이지,,공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 1구자산=사찰림 · 주불전=대웅전 · 영문명=Gwijeongsa
990450,내소사,,,,주차 가능 (2026-09 잠정),전나무숲길 600m (2026-09 잠정),RESERVATION,,,,,,N,잠정,국가유산포털;부안군,,조사단계=1차조사(v3.2) · 주불전=대웅보전(보물291) · 영문명=Naesosa Temple
990451,개암사,전북특별자치도 부안군 상서면 개암로 248,,,주차장 있음 (2026-09 잠정),변산반도·울금바위 (2026-09 잠정),RESERVATION,,,울금바위 조망||,,,N,잠정,https://ko.wikipedia.org · 디지털부안문화대전,,공양원문=사찰음식 · 조사단계=2차조사 · 국가유산=보물 부안 개암사 대웅전 · 산책로=울금바위 등산로 연계 · 1구자산=계곡·사찰림 · 주불전=대웅보전(보물 석가·문수·보현) · 영문명=Gaeamsa
990452,금당사,전북특별자치도 진안군 마령면 마이산남로 217,,,마이산 남부주차장 인근 (2026-09 잠정),마이산 도립공원 진입 (2026-09 잠정),RESERVATION,,,마이산 조망||,,,Y,잠정,나무위키 · 한국민족문화대백과,,공양원문=사찰음식 · 조사단계=2차조사 · 꽃절=벚꽃(봄 마이산) · 국가유산=보물 금당사 괘불탱·전북 유형문화유산 목불좌상 · 산책로=탑사~금당사 진입로 · 1구자산=계곡·사찰림 · 주불전=극락보전(목불좌상) · 영문명=Geumdangsa
990453,안국사,전북특별자치도 무주군 적상면 산성로 1050,,,적상산 정상부 주차 (2026-09 잠정),양수댐 건설로 1993년 이전 (2026-09 잠정),RESERVATION,,,적상산 조망||,,,Y,잠정,디지털무주문화대전 · 무주군,,공양원문=사찰음식 · 조사단계=2차조사 · 꽃절=단풍(가을) · 국가유산=전북 유형문화유산 안국사 극락전 · 산책로=적상산성 탐방로 · 1구자산=사찰림·적상호 · 주불전=극락전(전북 유형문화유산 아미타불) · 영문명=Anguksa
990454,금산사,,,,,모악산 등산로 (2026-09 잠정),RESERVATION,,,,,,N,잠정,국가유산포털;나무위키,,제17교구본사 · 조사단계=1차조사(v3.2) · 주불전=미륵전(국보62) · 영문명=Geumsansa Temple
990455,선운사,전북 고창군 아산면 선운사로 250,,,주차 가능 (2026-09 잠정),도솔산 진입 (2026-09 잠정),RESERVATION,,,,,,Y,잠정,국가유산포털;선운사자료,,제24교구본사 · 조사단계=1차조사(v3.2) · 꽃절=동백(4월)·꽃무릇(9월) · 주불전=대웅전(보물290) · 영문명=Seonunsa Temple
990456,영평사,,,,주차장 있음,구절초 축제 명소,RESERVATION,,,,,,N,비공식,,,조사단계=2차조사 · 산책로=구절초 산책로 · 1구자산=구절초 군락 · 영문명=Yeongpyeongsa
990457,학림사,,,,,계룡산 자락,RESERVATION,,,,,,N,비공식,,,조사단계=2차조사 · 1구자산=사찰림 · 영문명=Hangnimsa
990458,수덕사,충청남도 예산군 덕산면 수덕사안길 79,,,주차장 있음 (2026-09 잠정),덕숭산·가야산 (2026-09 잠정),RESERVATION,,,덕숭산 조망||,,,N,잠정,https://yesan.grandculture.net · https://ko.wikipedia.org/wiki/수덕사,,제7교구본사 · 공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 국가유산=국보 수덕사 대웅전·보물 목조석가여래삼불좌상 · 산책로=진입로 상가~일주문·덕숭산 정혜사 산길 · 1구자산=사찰림 · 주불전=대웅전(국보 제49호) · 영문명=Sudeoksa
990459,마곡사,충청남도 공주시 사곡면 마곡사로 966,,,식당가 대형주차장(무료)·사찰 인근 유료(4000원) (2026-09 잠정),외길 구간 교행 주의·입장 무료·세계유산 (2026-09 잠정),RESERVATION,,,태화산 조망||,,,Y,잠정,https://www.telltrip.com · 나무위키 · 국가유산포털,,제6교구본사 · 공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 꽃절=춘마곡 봄 벚꽃 · 국가유산=보물 4점(대광보전·대웅보전·영산전·오층석탑)·세계유산 · 산책로=태화산 솔바람길·계곡 남원북원 · 1구자산=계곡(마곡천)·솔숲·사찰림 · 주불전=대광보전(보물 제802호) · 영문명=Magoksa
990460,무량사,충청남도 부여군 외산면 무량로 203,,,주차장 있음 (2026-09 잠정),만수산 자락 (2026-09 잠정),RESERVATION,,,만수산 조망||,,,N,잠정,나무위키 · 국가유산포털,,공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 국가유산=보물 무량사 극락전·보물 오층석탑·보물 미륵불괘불탱 · 산책로=진입로 숲길 · 1구자산=계곡·사찰림 · 주불전=극락전(보물 제356호 2층 극락전 소조아미타삼존) · 영문명=Muryangsa
990461,서광사,충남 서산시 부춘산1로 44 (읍내동),,,,부춘산 도심 인근,RESERVATION,,,,,,N,비공식,,,조사단계=2차조사 · 1구자산=사찰림 · 영문명=Seogwangsa
990462,갑사,충청남도 공주시 계룡면 갑사로 567-3,,,주차장 있음 (2026-09 잠정),계룡산 서편·단풍 명소 (2026-09 잠정),RESERVATION,,,계룡산 조망||,,,Y,잠정,갑사 공식홈페이지 · 공주시,,공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 꽃절=단풍(가을 추갑사) · 국가유산=국보 갑사 삼신불괘불탱·보물 다수 · 산책로=오리숲 진입로·계곡 · 1구자산=계곡·오리숲·사찰림 · 주불전=대웅전 · 영문명=Gapsa
990463,부석사,충청남도 서산시 부석면 부석사길 243,,,주차장 있음 (2026-09 잠정),도비산 자락(천수만 조망) (2026-09 잠정),RESERVATION,,,천수만·서해 조망||,,,N,잠정,부석사 공식홈페이지,,영주 부석사 아님 · 공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 국가유산=쓰시마 금동관음보살좌상 관련 사찰 · 산책로=진입로 숲길 · 1구자산=사찰림 · 주불전=극락전(아미타불) · 영문명=Buseoksa (Seosan)
990464,미륵대흥사,,,,,황정산 자락,RESERVATION,,,,,,N,비공식,불교저널 · 템플스테이,,공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 1구자산=사찰림 · 주불전=미륵전 · 영문명=Mireukdaeheungsa
990465,석종사,,,,,금봉산 자락 선원 (2026-09 잠정),RESERVATION,,,,,,N,잠정,디지털충주문화대전,,공양원문=사찰음식·템플스테이 · 조사단계=2차조사 · 1구자산=사찰림 · 주불전=대웅전 · 영문명=Seokjongsa
990466,반야사,충청북도 영동군 황간면 백화산로 652,,,주차장 있음,백화산 호서의 소금강,RESERVATION,,,,,,N,비공식,영동군 · 불교신문,,공양원문=사찰음식 · 조사단계=2차조사 · 산책로=계곡 진입로·문수전 산길 · 1구자산=계곡·사찰림(호랑이 형상 너덜) · 주불전=대웅전(석가·문수·보현) · 영문명=Banyasa
