line_no,line_name,position,site_name_ko,site_name_en,road_address,latitude,longitude,diocese,iljumun,iljumun_name,geumgangmun,geumgangmun_name,cheonwangmun,cheonwangmun_name,bulimun,bulimun_name,pagoda,pagoda_name,main_hall_name,annex_halls,parking_info,access_info,meal_available,flower_badge,sources
8,전남,5,화엄사,Hwaeomsa Temple,전남 구례군 마산면 화엄사로 539,,,조계종 제19교구 본사,Y,지리산 화엄사,Y,금강문,Y,천왕문(소조사천왕상 보물2023),Y,보제루,Y,사사자삼층석탑(국보35)·동서오층석탑(보물132·133),대웅전(보물299),각황전(국보67)·원통전·영산전·명부전·나한전·범종각,주차 가능,계단 진입,미확인,홍매(흑매 3월),위키;국가유산포털;국가유산청 보도자료
9,전북,1,금산사,Geumsansa Temple,미확인(김제시 모악산),,,조계종 제17교구 본사,Y,금산사 일주문,Y,금강문,Y,천왕문,Y,보제루,Y,오층석탑(보물25)·육각다층석탑(보물27),미륵전(국보62),대적광전·대장전·명부전·나한전·조사전,미확인,모악산 등산로,미확인,미확인,국가유산포털;나무위키
9,전북,2,송광사(완주),Songgwangsa Temple (Wanju),전북 완주군 소양면(종남산),,,조계종 제17교구 금산사 말사,Y,종남산 송광사,Y,금강문(보물2023),Y,천왕문(소조사천왕상 보물1255),Y,종루(십자각 보물1244),?,,대웅전(보물1243),지장전·나한전·응진전·약사전·관음전·삼성각·칠성각·명부전,주차 가능,평지 일직선,미확인,미확인,전북일보;불교신문;국가유산포털
9,전북,3,실상사,Silsangsa Temple,미확인(남원시 지리산),,,조계종 제17교구 금산사 말사,?,,?,,Y,천왕문,Y,누각(미확인),Y,삼층석탑(보물37 동서쌍탑),보광전,약사전·명부전·칠성각,미확인,지리산 평지,미확인,미확인,국가유산포털
9,전북,4,내소사,Naesosa Temple,미확인(부안군 변산),,,조계종 제24교구 선운사 말사,Y,내소사 일주문,N,,Y,사천왕문,Y,봉래루,Y,삼층석탑(전북유형),대웅보전(보물291),설선당·조사당·삼성각·범종각,주차 가능,전나무숲길 600m,미확인,미확인,국가유산포털;부안군
9,전북,5,선운사,Seonunsa Temple,전북 고창군 아산면 선운사로 250,,,조계종 제24교구 본사,Y,선운사 일주문,?,,Y,천왕문,Y,만세루,Y,육층석탑(전북유형),대웅전(보물290),영산전·명부전·관음전·산신각·팔상전,주차 가능,도솔산 진입,미확인,동백(4월)·꽃무릇(9월),국가유산포털;선운사자료
10,경북,1,용문사(예천),Yongmunsa Temple (Yecheon),경북 예천군 용문면 용문사길 285-30,,,조계종 제8교구 직지사 말사,Y,용문사 일주문,?,,Y,천왕문,Y,해운루,?,,보광명전,대장전·명부전·응진전·산신각,미확인,소백산 등산로,미확인,미확인,위키;국가유산청
10,경북,2,봉정사,Bongjeongsa Temple,미확인(안동시 천등산),,,조계종 제16교구 고운사 말사,Y,봉정사 일주문,N,,?,,Y,만세루(덕휘루),Y,삼층석탑(경북유형),대웅전(국보311),극락전(국보15)·고금당·화엄강당·삼성각,미확인,천등산 진입,미확인,미확인,나무위키;국가유산포털
10,경북,3,직지사,Jikjisa Temple,경북 김천시 대항면 북암길 95,,,조계종 제8교구 본사,Y,직지사 일주문,Y,금강문,Y,천왕문(소조사천왕상 보물2023),Y,만세루,Y,삼층석탑(보물606),대웅전,비로전·관음전·명부전·응진전·사명각,주차 가능,직지문화공원,미확인,미확인,국가유산청 보도자료;국가유산포털
10,경북,4,부석사,Buseoksa Temple,미확인(영주시 봉황산),,,조계종 제16교구 고운사 말사,Y,부석사 일주문,N,,Y,천왕문,Y,안양루,Y,삼층석탑(보물249),무량수전(국보18),조사당(국보19)·응진전·자인당·범종루,주차 가능,은행나무길,미확인,미확인,국가유산포털
10,경북,5,은해사,Eunhaesa Temple,미확인(영천시 팔공산),,,조계종 제10교구 본사,Y,은해사 일주문,?,,Y,천왕문,Y,보화루,?,,극락보전,지장전·산령각·설선당·심검당·종루,미확인,팔공산 등산로,미확인,미확인,국가유산포털;향토문화전자대전
11,강원내륙,1,수타사,Sutasa Temple,미확인(홍천군 공작산),,,조계종 제4교구 월정사 말사,?,,?,,Y,봉황문(소조사천왕상 보물2023),Y,흥회루,Y,삼층석탑,대적광전,원통보전·지장전·삼성각,미확인,공작산 생태숲,미확인,미확인,국가유산청 보도자료;불교신문
11,강원내륙,2,구룡사,Guryongsa Temple,미확인(원주시 치악산),,,조계종 제4교구 월정사 말사,Y,구룡사 일주문,?,,?,,?,,?,,대웅전,미확인,미확인,세렴폭포 방향,미확인,미확인,구룡사공식(현장실사)
11,강원내륙,3,법흥사,Beopheungsa Temple,미확인(영월군 사자산),,,조계종 제4교구 월정사 말사,Y,법흥사 일주문,?,,?,,?,,?,,적멸보궁(불상없음),원음루·삼성각(미확인),미확인,소나무숲길,미확인,미확인,법흥사자료(현장실사)
11,강원내륙,4,월정사,Woljeongsa Temple,미확인(평창군 오대산),,,조계종 제4교구 본사,Y,월정대가람,N,,Y,천왕문,Y,금강루,Y,팔각구층석탑(국보48-1),적광전,삼성각·수광전·개산조각,주차 가능,전나무숲길 1km,미확인,미확인,국가유산포털;월정사자료
11,강원내륙,5,정암사,Jeongamsa Temple,강원 정선군 고한읍 함백산로 1410,,,조계종 제4교구 월정사 말사,Y,태백산 정암사,?,,?,,?,,Y,수마노탑(국보332),적멸보궁(불상없음),삼성각·자장각(미확인),미확인,수마노탑 오름길,미확인,미확인,국가유산포털
12,강원해안,1,건봉사,Geonbongsa Temple,강원 고성군 거진읍 건봉사로 723,,,조계종 제3교구 신흥사 말사,?,,?,,?,,Y,불이문(해탈문),Y,능파교 인근(미확인),대웅전+극락전,명부전·산신각,미확인,능파교 동선,미확인,미확인,위키
12,강원해안,2,보현사(강릉),Bohyeonsa Temple (Gangneung),미확인(강릉시),,,조계종 제4교구 월정사 말사,?,,?,,?,,?,,?,,대웅전,영산전·삼성각(미확인),미확인,보현산 계곡길,미확인,미확인,국가유산포털
12,강원해안,3,삼화사,Samhwasa Temple,미확인(동해시 두타산),,,조계종 제4교구 월정사 말사,Y,삼화사 일주문,?,,?,,Y,누각(미확인),Y,삼층석탑(보물),적광전,약사전·삼성각·범종각,미확인,무릉계곡,미확인,미확인,삼화사자료(번호 재확인)
12,강원해안,4,천은사(삼척),Cheoneunsa Temple (Samcheok),미확인(삼척시 두타산),,,조계종 제4교구 월정사 말사,?,,?,,?,,?,,?,,극락보전,미확인,미확인,이승휴 유적,미확인,미확인,천은사자료(현장실사)
12,강원해안,5,신흥사,Sinheungsa Temple,미확인(속초시 설악산),,,조계종 제3교구 본사,Y,신흥사 일주문,?,,Y,사천왕문,Y,보제루,Y,향성사지삼층석탑(보물443),극락보전(보물1981),명부전·삼성각·적묵당,주차 가능,울산바위·비룡폭포 포행,미확인,미확인,국가유산포털;신흥사자료
